Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:c83e:d0d8:d432:7e8f,South Holland,2021-08-30T17:30:26.857Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.84.79,Capital Region,2021-08-29T21:42:31.192Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:4ce1:c89f:bed:c230,South Holland,2021-08-29T15:42:59.837Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.48,Capital Region,2021-08-28T15:31:03.829Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.82.67,Capital Region,2021-08-26T16:21:15.319Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.59,Capital Region,2021-08-26T15:26:11.776Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.207,Capital Region,2021-08-25T21:48:30.331Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.83.207,Capital Region,2021-08-25T19:31:00.585Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-8158-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,NL,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,83.86.85.88,South Holland,2021-08-25T15:53:42.648Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.59,Capital Region,2021-08-24T16:36:58.539Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),83.86.85.88,South Holland,2021-08-23T18:10:04.903Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.56,Central Denmark,2021-08-23T16:20:16.801Z
GOOGEAR0010000000000000037153558,NL,Google Chromecast V3 Streaming Stick,Google Chromecast V3 Streaming Stick,83.86.85.88,South Holland,2021-08-22T18:45:19.828Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.58,Capital Region,2021-08-22T17:21:25.868Z
NFCDCH-02-HJMNN08WMTTYK066W3CNTN1N0RHD20,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),83.86.85.88,South Holland,2021-08-21T13:16:29.007Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),83.86.85.88,South Holland,2021-08-20T18:49:59.966Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.58,Capital Region,2021-08-18T15:31:27.501Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,NL,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,83.86.85.88,South Holland,2021-08-17T22:48:36.622Z
